"","Ethnicity","Title","Gender","Employee Age","Participated","Retained","HOME ORG CODE","Years of Service","Strata","Deidentified ID","title_status","Age","title_binary","strata_binary_10_15","strata_binary_5_10","strata_binary_less_5","strata_binary_greater_15","ethnicity_binary_african_am","ethnicity_binary_caucasian","ethnicity_binary_asian","ethnicity_binary_latina","ethnicity_binary_other","gender_binary_female","gender_binary_male","employeeage","HomeOrgCode","YearsOfService"
"3485","LATINA/O","TEACHER,FULL TIME","F",31,0,"0","5170",8,"5 to less than 10 years",213764,"teacher","30s",1,0,1,0,0,0,0,0,1,0,1,0,31,"5170",8
"3486","CAUCASIAN","TEACHER,SPEC EDUCATION","M",56,0,"1","2000",14,"10 to 15 years",213828,"teacher","50s",1,1,0,0,0,0,1,0,0,0,0,1,56,"2000",14
"3487","CAUCASIAN","TEACHER,SPEC EDUCATION","F",60,0,"1","6460",14,"10 to 15 years",213832,"teacher","60s",1,1,0,0,0,0,1,0,0,0,1,0,60,"6460",14
"3488","CAUCASIAN","TEACHER,FULL TIME","F",37,0,"1","1380",14,"10 to 15 years",213836,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,37,"1380",14
"3489","AFRICAN AM","TEACHER,FULL TIME","F",38,0,"1","8350",14,"10 to 15 years",213856,"teacher","30s",1,1,0,0,0,1,0,0,0,0,1,0,38,"8350",14
"3490","CAUCASIAN","TEACHER,FULL TIME","F",53,0,"1","8240",9,"5 to less than 10 years",213872,"teacher","50s",1,0,1,0,0,0,1,0,0,0,1,0,53,"8240",9
"3491","ASIAN/PAC","TEACHER,FULL TIME","M",36,1,"1","1370",11,"10 to 15 years",213880,"teacher","30s",1,1,0,0,0,0,0,0,0,0,0,1,36,"1370",11
"3492","AFRICAN AM","TEACHER,FULL TIME","F",38,0,"1","1420",14,"10 to 15 years",213904,"teacher","30s",1,1,0,0,0,1,0,0,0,0,1,0,38,"1420",14
"3493","CAUCASIAN","TEACHER,FULL TIME","F",37,0,"1","8360",14,"10 to 15 years",213912,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,37,"8360",14
"3494","CAUCASIAN","TEACHER,FULL TIME","F",60,0,"0","9EW0",11,"10 to 15 years",213924,"teacher","60s",1,1,0,0,0,0,1,0,0,0,1,0,60,"9EW0",11
"3495","AFRICAN AM","TEACHER,FULL TIME","F",42,0,"1","1390",14,"10 to 15 years",213936,"teacher","40s",1,1,0,0,0,1,0,0,0,0,1,0,42,"1390",14
"3496","CAUCASIAN","TEACHER,FULL TIME","F",64,0,"0","4300",10,"10 to 15 years",213940,"teacher","60s",1,1,0,0,0,0,1,0,0,0,1,0,64,"4300",10
"3497","AFRICAN AM","SCHOOL COUNSELOR, 10 MONTHS","F",41,0,"1","2680",8,"5 to less than 10 years",213964,"non_classroom_teacher","40s",0,0,1,0,0,1,0,0,0,0,1,0,41,"2680",8
"3498","AFRICAN AM","TEACHER,FULL TIME","F",42,0,"1","2210",19,"greater than or equal to 15",21400,"teacher","40s",1,0,0,0,1,1,0,0,0,0,1,0,42,"2210",19
"3499","LATINA/O","TEACHER,FULL TIME","F",51,0,"1","8030",14,"10 to 15 years",214024,"teacher","50s",1,1,0,0,0,0,0,0,1,0,1,0,51,"8030",14
"3500","CAUCASIAN","TEACHER,SPEC EDUCATION","F",41,0,"1","5680",14,"10 to 15 years",214028,"teacher","40s",1,1,0,0,0,0,1,0,0,0,1,0,41,"5680",14
"3501","CAUCASIAN","TEACHER,FULL TIME","F",41,0,"1","5210",13,"10 to 15 years",214040,"teacher","40s",1,1,0,0,0,0,1,0,0,0,1,0,41,"5210",13
"3502","CAUCASIAN","SCHOOL COUNSELOR, 10 MONTHS","F",63,1,"1","1400",13,"10 to 15 years",214044,"non_classroom_teacher","60s",0,1,0,0,0,0,1,0,0,0,1,0,63,"1400",13
"3503","CAUCASIAN","TEACHER,FULL TIME","F",49,0,"1","5530",14,"10 to 15 years",214052,"teacher","40s",1,1,0,0,0,0,1,0,0,0,1,0,49,"5530",14
"3504","AFRICAN AM","SCHOOL COUNSELOR, 10 MONTHS","F",52,0,"1","2020",14,"10 to 15 years",214076,"non_classroom_teacher","50s",0,1,0,0,0,1,0,0,0,0,1,0,52,"2020",14
"3505","AFRICAN AM","TEACHER,FULL TIME","F",42,0,"1","1420",19,"greater than or equal to 15",21408,"teacher","40s",1,0,0,0,1,1,0,0,0,0,1,0,42,"1420",19
"3506","CAUCASIAN","TEACHER,FULL TIME","F",38,0,"1","1380",14,"10 to 15 years",214084,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,38,"1380",14
"3507","CAUCASIAN","TEACHER,FULL TIME","F",37,0,"1","6350",14,"10 to 15 years",214088,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,37,"6350",14
"3508","CAUCASIAN","TEACHER,SPEC EDUCATION","F",43,0,"1","7270",14,"10 to 15 years",214100,"teacher","40s",1,1,0,0,0,0,1,0,0,0,1,0,43,"7270",14
"3509","LATINA/O","TEACHER,FULL TIME","F",43,0,"1","9EW0",14,"10 to 15 years",214112,"teacher","40s",1,1,0,0,0,0,0,0,1,0,1,0,43,"9EW0",14
"3510","CAUCASIAN","TEACHER,FULL TIME","F",40,0,"1","8240",14,"10 to 15 years",214120,"teacher","40s",1,1,0,0,0,0,1,0,0,0,1,0,40,"8240",14
"3511","AFRICAN AM","TEACHER,FULL TIME","F",61,0,"1","4360",14,"10 to 15 years",214132,"teacher","60s",1,1,0,0,0,1,0,0,0,0,1,0,61,"4360",14
"3512","CAUCASIAN","TEACHER,FULL TIME","F",35,0,"1","7250",3,"less than 5",214156,"teacher","30s",1,0,0,1,0,0,1,0,0,0,1,0,35,"7250",3
"3513","CAUCASIAN","TEACHER,FULL TIME","M",38,0,"1","2510",14,"10 to 15 years",214192,"teacher","30s",1,1,0,0,0,0,1,0,0,0,0,1,38,"2510",14
"3514","CAUCASIAN","TEACHER,FULL TIME","F",55,0,"1","8160",26,"greater than or equal to 15",21424,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,55,"8160",26
"3515","CAUCASIAN","TEACHER,FULL TIME","F",35,0,"1","8270",14,"10 to 15 years",214260,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,35,"8270",14
"3516","CAUCASIAN","TEACHER,FULL TIME","F",37,0,"1","7470",14,"10 to 15 years",214268,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,37,"7470",14
"3517","CAUCASIAN","TEACHER,FULL TIME","M",36,0,"1","8160",12,"10 to 15 years",214280,"teacher","30s",1,1,0,0,0,0,1,0,0,0,0,1,36,"8160",12
"3518","CAUCASIAN","TEACHER,FULL TIME","F",38,0,"0","7250",7,"5 to less than 10 years",214284,"teacher","30s",1,0,1,0,0,0,1,0,0,0,1,0,38,"7250",7
"3519","LATINA/O","TEACHER,FULL TIME","F",42,0,"1","5440",14,"10 to 15 years",214332,"teacher","40s",1,1,0,0,0,0,0,0,1,0,1,0,42,"5440",14
"3520","CAUCASIAN","TEACHER,FULL TIME","F",38,0,"1","7470",14,"10 to 15 years",214356,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,38,"7470",14
"3521","CAUCASIAN","TEACHER,SPEC EDUCATION","F",42,0,"1","8390",19,"greater than or equal to 15",21436,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,42,"8390",19
"3522","CAUCASIAN","TEACHER,FULL TIME","F",42,0,"0","7120",11,"10 to 15 years",214360,"teacher","40s",1,1,0,0,0,0,1,0,0,0,1,0,42,"7120",11
"3523","CAUCASIAN","TEACHER,FULL TIME","M",41,0,"1","6030",14,"10 to 15 years",214364,"teacher","40s",1,1,0,0,0,0,1,0,0,0,0,1,41,"6030",14
"3524","CAUCASIAN","SCHOOL COUNSELOR, 10 MONTHS","F",53,0,"1","4300",19,"greater than or equal to 15",2144,"non_classroom_teacher","50s",0,0,0,0,1,0,1,0,0,0,1,0,53,"4300",19
"3525","CAUCASIAN","TEACHER,FULL TIME","F",36,0,"1","6440",13,"10 to 15 years",214480,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,36,"6440",13
"3526","CAUCASIAN","TEACHER,FULL TIME","M",56,0,"1","1050",2,"less than 5",214516,"teacher","50s",1,0,0,1,0,0,1,0,0,0,0,1,56,"1050",2
"3527","CAUCASIAN","TEACHER,FULL TIME","F",36,0,"1","4560",14,"10 to 15 years",214536,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,36,"4560",14
"3528","CAUCASIAN","TEACHER,FULL TIME","F",38,0,"1","8430",13,"10 to 15 years",214548,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,38,"8430",13
"3529","LATINA/O","TEACHER,FULL TIME","F",33,0,"1","5520",9,"5 to less than 10 years",214560,"teacher","30s",1,0,1,0,0,0,0,0,1,0,1,0,33,"5520",9
"3530","CAUCASIAN","TEACHER,FULL TIME","F",46,0,"1","7120",9,"5 to less than 10 years",214572,"teacher","40s",1,0,1,0,0,0,1,0,0,0,1,0,46,"7120",9
"3531","CAUCASIAN","TEACHER,FULL TIME","F",42,0,"0","1410",11,"10 to 15 years",214592,"teacher","40s",1,1,0,0,0,0,1,0,0,0,1,0,42,"1410",11
"3532","CAUCASIAN","TEACHER,FULL TIME","F",38,0,"1","8360",14,"10 to 15 years",214604,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,38,"8360",14
"3533","AFRICAN AM","TEACHER,FULL TIME","F",62,0,"1","8120",14,"10 to 15 years",214612,"teacher","60s",1,1,0,0,0,1,0,0,0,0,1,0,62,"8120",14
"3534","CAUCASIAN","TEACHER,FULL TIME","M",46,0,"0","8010",3,"less than 5",214624,"teacher","40s",1,0,0,1,0,0,1,0,0,0,0,1,46,"8010",3
"3535","CAUCASIAN","TEACHER,FULL TIME","F",46,0,"1","8340",14,"10 to 15 years",214636,"teacher","40s",1,1,0,0,0,0,1,0,0,0,1,0,46,"8340",14
"3536","AFRICAN AM","TEACHER,FULL TIME","M",46,0,"0","8240",9,"5 to less than 10 years",214640,"teacher","40s",1,0,1,0,0,1,0,0,0,0,0,1,46,"8240",9
"3537","AFRICAN AM","TEACHER,FULL TIME","F",40,0,"1","1490",8,"5 to less than 10 years",214648,"teacher","40s",1,0,1,0,0,1,0,0,0,0,1,0,40,"1490",8
"3538","CAUCASIAN","TEACHER,FULL TIME","F",36,0,"1","7330",14,"10 to 15 years",214672,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,36,"7330",14
"3539","CAUCASIAN","TEACHER,SPEC EDUCATION","F",37,0,"1","7200",13,"10 to 15 years",214680,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,37,"7200",13
"3540","CAUCASIAN","TEACHER,FULL TIME","F",38,0,"1","7290",14,"10 to 15 years",214704,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,38,"7290",14
"3541","CAUCASIAN","TEACHER,FULL TIME","F",37,0,"1","8010",14,"10 to 15 years",214708,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,37,"8010",14
"3542","CAUCASIAN","TEACHER,FULL TIME","M",59,1,"1","6050",14,"10 to 15 years",214716,"teacher","50s",1,1,0,0,0,0,1,0,0,0,0,1,59,"6050",14
"3543","CAUCASIAN","SCHOOL COUNSELOR, 10 MONTHS","F",48,0,"1","8010",14,"10 to 15 years",214736,"non_classroom_teacher","40s",0,1,0,0,0,0,1,0,0,0,1,0,48,"8010",14
"3544","CAUCASIAN","TEACHER,FULL TIME","F",36,0,"1","7400",14,"10 to 15 years",214748,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,36,"7400",14
"3545","CAUCASIAN","TEACHER,FULL TIME","F",33,0,"0","7200",10,"10 to 15 years",214752,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,33,"7200",10
"3546","CAUCASIAN","TEACHER,FULL TIME","F",61,0,"0","7380",8,"5 to less than 10 years",214764,"teacher","60s",1,0,1,0,0,0,1,0,0,0,1,0,61,"7380",8
"3547","AFRICAN AM","SCHOOL COUNSELOR, 10 MONTHS","F",42,0,"1","6540",8,"5 to less than 10 years",214792,"non_classroom_teacher","40s",0,0,1,0,0,1,0,0,0,0,1,0,42,"6540",8
"3548","CAUCASIAN","TEACHER,FULL TIME","F",58,0,"1","7270",11,"10 to 15 years",214800,"teacher","50s",1,1,0,0,0,0,1,0,0,0,1,0,58,"7270",11
"3549","CAUCASIAN","TEACHER,SPEC EDUCATION","F",57,0,"1","6400",14,"10 to 15 years",214816,"teacher","50s",1,1,0,0,0,0,1,0,0,0,1,0,57,"6400",14
"3550","CAUCASIAN","TEACHER,SPEC EDUCATION","F",34,0,"0","5070",11,"10 to 15 years",214824,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,34,"5070",11
"3551","CAUCASIAN","TEACHER,FULL TIME","M",65,0,"1","2620",13,"10 to 15 years",214912,"teacher","60s",1,1,0,0,0,0,1,0,0,0,0,1,65,"2620",13
"3552","AFRICAN AM","TEACHER,FULL TIME","F",50,0,"0","6410",26,"greater than or equal to 15",21496,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,50,"6410",26
"3553","CAUCASIAN","TEACHER,FULL TIME","F",37,0,"1","8380",14,"10 to 15 years",214960,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,37,"8380",14
"3554","CAUCASIAN","TEACHER,SPEC EDUCATION","F",59,0,"1","1360",14,"10 to 15 years",214964,"teacher","50s",1,1,0,0,0,0,1,0,0,0,1,0,59,"1360",14
"3555","CAUCASIAN","TEACHER,FULL TIME","F",38,0,"1","6220",14,"10 to 15 years",214984,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,38,"6220",14
"3556","AFRICAN AM","TEACHER,FULL TIME","F",53,0,"1","6320",29,"greater than or equal to 15",21500,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,53,"6320",29
"3557","AFRICAN AM","CONSULTING TEACHER","F",35,0,"1","9KS0",13,"10 to 15 years",215004,"non_classroom_teacher","30s",0,1,0,0,0,1,0,0,0,0,1,0,35,"9KS0",13
"3558","CAUCASIAN","TEACHER,SPEC EDUCATION","M",43,0,"1","8090",14,"10 to 15 years",215008,"teacher","40s",1,1,0,0,0,0,1,0,0,0,0,1,43,"8090",14
"3559","CAUCASIAN","TEACHER,SPEC EDUCATION","F",36,0,"1","5340",14,"10 to 15 years",215032,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,36,"5340",14
"3560","CAUCASIAN","TEACHER,FULL TIME","F",36,0,"0","6440",11,"10 to 15 years",215048,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,36,"6440",11
"3561","CAUCASIAN","TEACHER,FULL TIME","M",38,0,"1","4030",14,"10 to 15 years",215052,"teacher","30s",1,1,0,0,0,0,1,0,0,0,0,1,38,"4030",14
"3562","CAUCASIAN","TEACHER,FULL TIME","F",58,0,"1","8410",14,"10 to 15 years",215060,"teacher","50s",1,1,0,0,0,0,1,0,0,0,1,0,58,"8410",14
"3563","CAUCASIAN","TEACHER,FULL TIME","M",38,0,"1","8010",14,"10 to 15 years",215068,"teacher","30s",1,1,0,0,0,0,1,0,0,0,0,1,38,"8010",14
"3564","CAUCASIAN","TEACHER,FULL TIME","F",36,0,"0","6350",12,"10 to 15 years",215072,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,36,"6350",12
"3565","AFRICAN AM","TEACHER,FULL TIME","F",55,0,"1","6270",26,"greater than or equal to 15",21508,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,55,"6270",26
"3566","AFRICAN AM","TEACHER,FULL TIME","F",46,0,"1","5060",14,"10 to 15 years",215084,"teacher","40s",1,1,0,0,0,1,0,0,0,0,1,0,46,"5060",14
"3567","CAUCASIAN","TEACHER,FULL TIME","M",38,0,"1","8140",12,"10 to 15 years",215124,"teacher","30s",1,1,0,0,0,0,1,0,0,0,0,1,38,"8140",12
"3568","CAUCASIAN","TEACHER,FULL TIME","M",47,0,"1","2000",24,"greater than or equal to 15",21520,"teacher","40s",1,0,0,0,1,0,1,0,0,0,0,1,47,"2000",24
"3569","AFRICAN AM","TEACHER,SPEC EDUCATION","M",32,0,"1","7730",3,"less than 5",215216,"teacher","30s",1,0,0,1,0,1,0,0,0,0,0,1,32,"7730",3
"3570","CAUCASIAN","TEACHER,SPEC EDUCATION","F",35,0,"1","4280",12,"10 to 15 years",215232,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,35,"4280",12
"3571","CAUCASIAN","TEACHER,FULL TIME","M",39,0,"1","2290",13,"10 to 15 years",215236,"teacher","30s",1,1,0,0,0,0,1,0,0,0,0,1,39,"2290",13
"3572","AFRICAN AM","TEACHER,FULL TIME","M",38,0,"1","5700",3,"less than 5",215248,"teacher","30s",1,0,0,1,0,1,0,0,0,0,0,1,38,"5700",3
"3573","CAUCASIAN","TEACHER,FULL TIME","F",70,0,"1","7120",12,"10 to 15 years",215304,"teacher","70s",1,1,0,0,0,0,1,0,0,0,1,0,70,"7120",12
"3574","CAUCASIAN","TEACHER,FULL TIME","F",30,0,"0","4470",7,"5 to less than 10 years",215328,"teacher","30s",1,0,1,0,0,0,1,0,0,0,1,0,30,"4470",7
"3575","CAUCASIAN","TEACHER,FULL TIME","M",47,0,"1","5020",5,"less than 5",215348,"teacher","40s",1,0,0,1,0,0,1,0,0,0,0,1,47,"5020",5
"3576","CAUCASIAN","TEACHER,FULL TIME","F",29,0,"0","5410",6,"5 to less than 10 years",215360,"teacher","20s",1,0,1,0,0,0,1,0,0,0,1,0,29,"5410",6
"3577","AFRICAN AM","TEACHER,FULL TIME","F",37,0,"1","2260",14,"10 to 15 years",215376,"teacher","30s",1,1,0,0,0,1,0,0,0,0,1,0,37,"2260",14
"3578","CAUCASIAN","TEACHER,FULL TIME","M",37,0,"1","2470",13,"10 to 15 years",215388,"teacher","30s",1,1,0,0,0,0,1,0,0,0,0,1,37,"2470",13
"3579","CAUCASIAN","TEACHER,FULL TIME","F",48,0,"0","2390",11,"10 to 15 years",215392,"teacher","40s",1,1,0,0,0,0,1,0,0,0,1,0,48,"2390",11
"3580","AFRICAN AM","TEACHER,FULL TIME","M",65,0,"1","8020",14,"10 to 15 years",215396,"teacher","60s",1,1,0,0,0,1,0,0,0,0,0,1,65,"8020",14
"3581","CAUCASIAN","TEACHER,FULL TIME","F",39,0,"1","8140",14,"10 to 15 years",215400,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,39,"8140",14
"3582","CAUCASIAN","SCHOOL COUNSELOR, 10 MONTHS","F",37,0,"1","5680",14,"10 to 15 years",215412,"non_classroom_teacher","30s",0,1,0,0,0,0,1,0,0,0,1,0,37,"5680",14
"3583","CAUCASIAN","TEACHER,FULL TIME","M",36,0,"1","6220",13,"10 to 15 years",215432,"teacher","30s",1,1,0,0,0,0,1,0,0,0,0,1,36,"6220",13
"3584","CAUCASIAN","TEACHER,FULL TIME","F",64,0,"0","2490",11,"10 to 15 years",215448,"teacher","60s",1,1,0,0,0,0,1,0,0,0,1,0,64,"2490",11
"3585","LATINA/O","TEACHER,FULL TIME","M",41,0,"1","7150",11,"10 to 15 years",215452,"teacher","40s",1,1,0,0,0,0,0,0,1,0,0,1,41,"7150",11
"3586","CAUCASIAN","TEACHER,FULL TIME","F",48,0,"1","8440",24,"greater than or equal to 15",21548,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,48,"8440",24
"3587","AFRICAN AM","TEACHER,FULL TIME","M",59,0,"1","6090",14,"10 to 15 years",215516,"teacher","50s",1,1,0,0,0,1,0,0,0,0,0,1,59,"6090",14
"3588","CAUCASIAN","TEACHER,FULL TIME","F",45,0,"1","4220",12,"10 to 15 years",215556,"teacher","40s",1,1,0,0,0,0,1,0,0,0,1,0,45,"4220",12
"3589","CAUCASIAN","TEACHER,FULL TIME","F",36,0,"1","7220",14,"10 to 15 years",215572,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,36,"7220",14
"3590","CAUCASIAN","TEACHER,SPEC EDUCATION","F",34,0,"0","7280",9,"5 to less than 10 years",215580,"teacher","30s",1,0,1,0,0,0,1,0,0,0,1,0,34,"7280",9
"3591","other","TEACHER,FULL TIME","F",47,0,"1","8420",18,"greater than or equal to 15",2156,"teacher","40s",1,0,0,0,1,0,0,0,0,1,1,0,47,"8420",18
"3592","CAUCASIAN","TEACHER,FULL TIME","F",52,0,"1","8210",30,"greater than or equal to 15",21560,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,52,"8210",30
"3593","CAUCASIAN","TEACHER,FULL TIME","F",59,0,"1","5350",13,"10 to 15 years",215680,"teacher","50s",1,1,0,0,0,0,1,0,0,0,1,0,59,"5350",13
"3594","CAUCASIAN","TEACHER,FULL TIME","F",53,0,"1","6300",13,"10 to 15 years",215716,"teacher","50s",1,1,0,0,0,0,1,0,0,0,1,0,53,"6300",13
"3595","AFRICAN AM","TEACHER,FULL TIME","F",53,0,"1","4560",0,"less than 5",215736,"teacher","50s",1,0,0,1,0,1,0,0,0,0,1,0,53,"4560",0
"3596","AFRICAN AM","TEACHER,FULL TIME","F",49,0,"1","6470",21,"greater than or equal to 15",21576,"teacher","40s",1,0,0,0,1,1,0,0,0,0,1,0,49,"6470",21
"3597","CAUCASIAN","TEACHER,FULL TIME","M",43,0,"1","1280",12,"10 to 15 years",215808,"teacher","40s",1,1,0,0,0,0,1,0,0,0,0,1,43,"1280",12
"3598","CAUCASIAN","TEACHER,FULL TIME","F",40,0,"1","7150",13,"10 to 15 years",215812,"teacher","40s",1,1,0,0,0,0,1,0,0,0,1,0,40,"7150",13
"3599","AFRICAN AM","SCHOOL COUNSELOR, 10 MONTHS","M",34,0,"0","4060",4,"less than 5",215832,"non_classroom_teacher","30s",0,0,0,1,0,1,0,0,0,0,0,1,34,"4060",4
"3600","AFRICAN AM","TEACHER,FULL TIME","F",42,0,"1","1470",3,"less than 5",215844,"teacher","40s",1,0,0,1,0,1,0,0,0,0,1,0,42,"1470",3
"3601","CAUCASIAN","SCHOOL COUNSELOR, 10 MONTHS","F",39,0,"1","6010",10,"10 to 15 years",215876,"non_classroom_teacher","30s",0,1,0,0,0,0,1,0,0,0,1,0,39,"6010",10
"3602","AFRICAN AM","TEACHER,SPEC EDUCATION","F",56,0,"1","5050",1,"less than 5",215880,"teacher","50s",1,0,0,1,0,1,0,0,0,0,1,0,56,"5050",1
"3603","CAUCASIAN","TEACHER,FULL TIME","F",49,0,"1","1290",4,"less than 5",215900,"teacher","40s",1,0,0,1,0,0,1,0,0,0,1,0,49,"1290",4
"3604","ASIAN/PAC","TEACHER,FULL TIME","M",43,0,"1","1190",13,"10 to 15 years",215916,"teacher","40s",1,1,0,0,0,0,0,0,0,0,0,1,43,"1190",13
"3605","CAUCASIAN","TEACHER,FULL TIME","F",31,0,"0","4470",6,"5 to less than 10 years",215932,"teacher","30s",1,0,1,0,0,0,1,0,0,0,1,0,31,"4470",6
"3606","CAUCASIAN","TEACHER,FULL TIME","M",54,0,"1","2620",20,"greater than or equal to 15",21596,"teacher","50s",1,0,0,0,1,0,1,0,0,0,0,1,54,"2620",20
"3607","LATINA/O","TEACHER,FULL TIME","F",30,0,"1","7440",0,"less than 5",216020,"teacher","30s",1,0,0,1,0,0,0,0,1,0,1,0,30,"7440",0
"3608","CAUCASIAN","TEACHER,FULL TIME","M",37,0,"1","8030",13,"10 to 15 years",216052,"teacher","30s",1,1,0,0,0,0,1,0,0,0,0,1,37,"8030",13
"3609","CAUCASIAN","TEACHER,SPEC EDUCATION","F",43,0,"0","2590",6,"5 to less than 10 years",216060,"teacher","40s",1,0,1,0,0,0,1,0,0,0,1,0,43,"2590",6
"3610","CAUCASIAN","TEACHER,FULL TIME","M",44,0,"1","8020",13,"10 to 15 years",216080,"teacher","40s",1,1,0,0,0,0,1,0,0,0,0,1,44,"8020",13
"3611","CAUCASIAN","TEACHER,FULL TIME","M",39,0,"1","8030",13,"10 to 15 years",216104,"teacher","30s",1,1,0,0,0,0,1,0,0,0,0,1,39,"8030",13
"3612","AFRICAN AM","TEACHER,FULL TIME","F",48,0,"1","8420",13,"10 to 15 years",216124,"teacher","40s",1,1,0,0,0,1,0,0,0,0,1,0,48,"8420",13
"3613","CAUCASIAN","TEACHER,FULL TIME","F",37,0,"1","8140",13,"10 to 15 years",216132,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,37,"8140",13
"3614","AFRICAN AM","TEACHER,FULL TIME","F",57,0,"1","2690",10,"10 to 15 years",216144,"teacher","50s",1,1,0,0,0,1,0,0,0,0,1,0,57,"2690",10
"3615","CAUCASIAN","TEACHER,FULL TIME","M",47,0,"1","7200",19,"greater than or equal to 15",21616,"teacher","40s",1,0,0,0,1,0,1,0,0,0,0,1,47,"7200",19
"3616","ASIAN/PAC","TEACHER,SPEC EDUCATION","F",33,0,"0","1340",6,"5 to less than 10 years",216188,"teacher","30s",1,0,1,0,0,0,0,0,0,0,1,0,33,"1340",6
"3617","other","TEACHER,FULL TIME","M",65,0,"1","6010",13,"10 to 15 years",216192,"teacher","60s",1,1,0,0,0,0,0,0,0,1,0,1,65,"6010",13
"3618","CAUCASIAN","TEACHER,SPEC EDUCATION","M",58,0,"1","5170",11,"10 to 15 years",216204,"teacher","50s",1,1,0,0,0,0,1,0,0,0,0,1,58,"5170",11
"3619","CAUCASIAN","TEACHER,SPEC EDUCATION","F",58,0,"0","5300",8,"5 to less than 10 years",216232,"teacher","50s",1,0,1,0,0,0,1,0,0,0,1,0,58,"5300",8
"3620","CAUCASIAN","TEACHER,SPEC EDUCATION","F",37,0,"1","8030",13,"10 to 15 years",216236,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,37,"8030",13
"3621","CAUCASIAN","TEACHER,FULL TIME","F",41,0,"1","7120",13,"10 to 15 years",216244,"teacher","40s",1,1,0,0,0,0,1,0,0,0,1,0,41,"7120",13
"3622","CAUCASIAN","TEACHER,FULL TIME","F",51,0,"1","8350",24,"greater than or equal to 15",21628,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,51,"8350",24
"3623","CAUCASIAN","TEACHER,FULL TIME","M",40,0,"1","1020",13,"10 to 15 years",216316,"teacher","40s",1,1,0,0,0,0,1,0,0,0,0,1,40,"1020",13
"3624","CAUCASIAN","TEACHER,FULL TIME","F",51,0,"1","8430",12,"10 to 15 years",216336,"teacher","50s",1,1,0,0,0,0,1,0,0,0,1,0,51,"8430",12
"3625","AFRICAN AM","TEACHER,SPEC EDUCATION","F",52,0,"1","4530",28,"greater than or equal to 15",21636,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,52,"4530",28
"3626","CAUCASIAN","TEACHER,FULL TIME","F",64,0,"0","7320",4,"less than 5",216400,"teacher","60s",1,0,0,1,0,0,1,0,0,0,1,0,64,"7320",4
"3627","CAUCASIAN","TEACHER,FULL TIME","F",46,0,"1","8120",13,"10 to 15 years",216444,"teacher","40s",1,1,0,0,0,0,1,0,0,0,1,0,46,"8120",13
"3628","CAUCASIAN","TEACHER,SPEC EDUCATION","F",45,0,"1","8300",22,"greater than or equal to 15",21648,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,45,"8300",22
"3629","CAUCASIAN","TEACHER,FULL TIME","F",37,0,"1","2680",12,"10 to 15 years",216516,"teacher","30s",1,1,0,0,0,0,1,0,0,0,1,0,37,"2680",12
"3630","CAUCASIAN","TEACHER,FULL TIME","M",44,0,"1","8020",19,"greater than or equal to 15",21652,"teacher","40s",1,0,0,0,1,0,1,0,0,0,0,1,44,"8020",19
"3631","CAUCASIAN","TEACHER,FULL TIME","M",41,0,"1","2160",13,"10 to 15 years",216580,"teacher","40s",1,1,0,0,0,0,1,0,0,0,0,1,41,"2160",13
